Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Dead,Injured,Affected
1963-0050-TWN,1963,50,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,"Taipei, Hsinch",0,0,0,0,0,0,0,7,Richter,24.411,122.094,16:50,0,1963,2,13,1963,2,13,15,18,0,0,18,0,0,0,11.9789161597039,BLUE,GREEN,GREEN
1964-0016-AZO,1964,16,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Azores Islands,AZO,Southern Europe,Europe,Sao Jorge Isl.,0,0,0,Yes,0,0,0,5,Richter,38.8,-28.4,12:19,0,1964,2,18,1964,2,18,0,0,1000,0,1000,0,0,0,12.1321174880359,GREEN,GREEN,RED
1964-0036-JPN,1964,36,Natural,Geophysical,Earthquake,Tsunami,0,0,Kill,Japan,JPN,Eastern Asia,Asia,"Niigata, Hodo Isl.",0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,38.67,139.195,13:01,0,1964,6,16,1964,6,16,25,376,35000,0,35376,0,5000,800000,12.1321174880359,BLUE,RED,RED
1964-0021-USA,1964,21,Natural,Geophysical,Earthquake,Tsunami,0,0,Kill,United States of America (the),USA,Northern America,Americas,"Anchorage, Chitina, Glennallen, Homer, Hope, Kasilof, Kenai, Kodiak, Moose Pass, Portage, Seldovia, Seward, Sterling, Valdez, Wasilla, Whittier (Alaska)",0,Tsunami/Tidal wave,0,0,0,0,0,9,Richter,60.908,-147.339,18:36,0,1964,3,27,1964,3,27,131,0,0,0,0,0,0,311000,12.1321174880359,RED,GREEN,GREEN
1964-0032-MEX,1964,32,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Mexico,MEX,Central America,Americas,"Guerrero, Michoacan",0,0,0,Yes,0,0,0,7,Richter,18.136,-100.605,01:22,0,1964,7,6,1964,7,6,45,0,4000,0,4000,0,0,3000,12.1321174880359,YELLOW,GREEN,RED
1964-0059-TUR,1964,59,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"Manyas, Bursa, Balikesir provinces (West)",0,0,0,Yes,0,0,0,7,Richter,40.203,28.206,17:31,0,1964,10,6,1964,10,6,23,100,13000,0,13100,0,0,5000,12.1321174880359,BLUE,YELLOW,RED
1964-0014-TWN,1964,14,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Taiwan (Province of China),TWN,Eastern Asia,Asia,Tainan,0,0,0,Yes,0,0,0,7,Richter,23.2,120.6,20:04,0,1964,1,18,1964,1,18,107,2485,37000,23000,62485,0,0,0,12.1321174880359,RED,RED,RED
1964-0027-TZA,1964,27,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,Northern,0,0,0,Yes,0,0,0,0,Richter,2.31 ,32.56 ,0,0,1964,5,7,1964,5,7,4,0,500,0,500,0,0,0,12.1321174880359,GREEN,GREEN,RED
1965-0093-IDN,1965,93,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Sanana Island,0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,-2.608,-125.952,07:11,0,1965,1,24,1965,1,24,71,0,15000,0,15000,0,0,0,12.3244326683639,ORANGE,GREEN,RED
1965-0016-CHL,1965,16,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Chile,CHL,South America,Americas,"Coquimbo, Santiago (Central Valley)",0,0,0,Yes,0,0,0,7,Richter,-32.522,-71.233,12:33,0,1965,3,28,1965,3,28,400,350,20000,0,20350,0,0,125000,12.3244326683639,RED,RED,RED
1965-0002-DZA,1965,2,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Algeria,DZA,Northern Africa,Africa,M'sila & Environs,0,0,0,Yes,0,0,0,6,Richter,35.7,4.4,21:38,0,1965,1,1,1965,1,1,2,350,37000,12000,49350,0,0,2000,12.3244326683639,GREEN,RED,RED
1965-0015-GRC,1965,15,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Greece,GRC,Southern Europe,Europe,"(1) Alonisos & Skopelos, (2) C Patras, Corinth, (3) C Peloponnesus",0,0,0,Yes,0,0,0,6,Richter,39.4,24,0,0,1965,3,9,1965,3,9,38,253,30000,0,30253,0,0,8000,12.3244326683639,YELLOW,RED,RED
1965-0025-SLV,1965,25,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,El Salvador,SLV,Central America,Americas,San Marcos,0,0,0,Yes,0,0,0,6,Richter,13.5,-89.3,04:01,0,1965,5,3,1965,5,3,125,1138,90582,48000,139720,0,0,35000,12.3244326683639,RED,RED,RED
1965-0024-USA,1965,24,Natural,Geophysical,Earthquake,Ground movement,0,0,SigDam,United States of America (the),USA,Northern America,Americas,Seattle (Washington),0,0,0,0,0,0,0,7,Richter,47.4,-122.3,07:28,0,1965,4,29,1965,4,29,7,0,0,0,0,0,0,28000,12.3244326683639,GREEN,GREEN,GREEN
1965-0108-GRC,1965,108,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Greece,GRC,Southern Europe,Europe,Southern,0,0,0,0,0,0,0,6,Richter,37.7,21.8,05:12,0,2020,4,5,2020,4,5,32,200,0,0,200,0,0,0,12.3244326683639,YELLOW,ORANGE,YELLOW
1965-0107-IRN,1965,107,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,North West,0,0,0,0,0,0,0,5,Richter,37.6,47.1,19:39,0,1965,2,10,1965,2,10,20,0,0,0,0,0,0,0,12.3244326683639,BLUE,GREEN,GREEN
1966-0090-CHL,1966,90,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Chile,CHL,South America,Americas,Taltal & Catalina,0,0,0,Yes,0,0,0,8,Richter,-25.494,-70.55,04:18,0,1966,12,28,1966,12,28,4,6,3000,0,3006,0,0,400,12.6960281686485,GREEN,GREEN,RED
1966-0026-GRC,1966,26,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Greece,GRC,Southern Europe,Europe,Eurytania region,0,0,0,Yes,0,0,0,6,Richter,39.2,22,04:01,0,1966,2,5,1966,2,5,1,50,11000,0,11050,0,0,4000,12.6960281686485,GREEN,BLUE,RED
1966-0068-GRC,1966,68,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Greece,GRC,Southern Europe,Europe,"(1) Megalopos, (2) Central Greece",0,0,0,Yes,0,0,0,6,Richter,37.5,22.1,16:13,0,1966,9,1,1966,9,1,1,123,15000,0,15123,0,0,14000,12.6960281686485,GREEN,ORANGE,RED
1966-0082-PER,1966,82,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Peru,PER,South America,Americas,"Lima, Huacho, Kuaura, Chancay, Supe, San Nicolas",0,Tsunami/Tidal wave,0,Yes,0,0,0,8,Richter,-10.665,-78.228,16:42,0,1966,10,17,1966,10,17,120,1500,57600,49256,108356,0,0,15000,12.6960281686485,RED,RED,RED
1966-0051-NPL,1966,51,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Nepal,NPL,Southern Asia,Asia,Nepal-India border,0,0,0,0,0,0,0,6,Richter,29.706,80.935,16:44,0,1966,6,27,1966,6,27,80,100,20000,0,20100,0,0,1000,12.6960281686485,ORANGE,YELLOW,RED
1966-0042-SUN,1966,42,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Soviet Union,SUN,Russian Federation,Europe,Tashkent (Uzbekistan),0,0,0,0,0,0,0,0,Richter,41.2,69.1,0,0,1966,4,26,1966,4,26,10,0,100000,0,100000,0,0,300000,12.6960281686485,GREEN,GREEN,RED
1966-0058-TUR,1966,58,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,Mus province,0,0,0,0,0,0,0,0,Richter,38.5,41.3,0,0,1966,7,3,1966,7,3,14,0,0,0,0,0,0,0,12.6960281686485,BLUE,GREEN,GREEN
1966-0062-TUR,1966,62,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,Varto,0,0,0,Yes,0,0,0,7,Richter,39.235,41.572,15:22,0,1966,8,19,1966,8,19,2394,1500,108000,0,109500,0,0,20000,12.6960281686485,RED,RED,RED
1966-0039-UGA,1966,39,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Uganda,UGA,Eastern Africa,Africa,"W. Bwamba county, Kichwamba, Bondibogyo",0,0,0,Yes,0,0,0,1,Richter,0.622,29.863,04:42,0,1966,3,20,1966,3,20,104,510,5000,0,5510,0,0,1500,12.6960281686485,RED,RED,RED
1966-0040-COD,1966,40,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,Beni (North Kivu province),0,0,0,Yes,0,0,0,7,Richter,,,0,0,1966,3,20,1966,3,20,24,600,3000,0,3600,0,0,200,12.6960281686485,BLUE,RED,RED
1966-0143-IND,1966,143,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,India,IND,Southern Asia,Asia,North,0,0,0,0,0,0,0,6,Richter,28.7,78.9,07:45,0,1966,8,15,1966,8,15,15,0,0,0,0,0,0,0,12.6960281686485,BLUE,GREEN,GREEN
1966-0141-TUR,1966,141,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"Varto, Mus",0,0,0,0,0,0,0,6,Richter,39.1,41.6,04:16,0,1966,3,7,1966,3,7,10,0,0,0,0,0,0,0,12.6960281686485,GREEN,GREEN,GREEN
1966-0142-TUR,1966,142,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,0,0,0,0,0,0,0,0,5,Richter,38.9,41.3,03:04,0,1966,7,12,1966,7,12,12,20,0,0,20,0,0,0,12.6960281686485,BLUE,GREEN,GREEN
1967-0101-IDN,1967,101,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Makassar Strait, Tinambung (South Sulawesi)",0,Tsunami/Tidal wave,0,0,0,0,0,6,Richter,-3.7,119.3,12:09,0,1967,4,11,1967,4,11,71,100,0,0,100,0,0,0,13.048062107494,ORANGE,YELLOW,BLUE
1967-0075-ALB,1967,75,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Albania,ALB,Southern Europe,Europe,Shupenze (Albania-Yugo Border),0,0,0,0,0,0,0,7,Richter,41.386,20.532,08:23,0,1967,11,30,1967,11,30,11,134,0,0,134,0,0,20000,13.048062107494,BLUE,ORANGE,YELLOW
1967-0020-COL,1967,20,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Colombia,COL,South America,Americas,"Neiva (Huila deparment); Rivera, San Antonio",0,0,0,0,0,0,0,7,Richter,2.849,-74.798,10:24,0,1967,2,9,1967,2,9,61,200,40000,0,40200,0,0,600,13.048062107494,ORANGE,ORANGE,RED
1967-0131-FRA,1967,131,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,France,FRA,Western Europe,Europe,"Arette, Lanne, Montory, Aramits, Haux, Sunhar (Pyrénées-Atlantiques)",0,0,0,0,0,0,0,5,Richter,43.2,-0.5,23:07,0,1967,8,13,1967,8,13,1,80,0,1020,1100,0,0,0,13.048062107494,GREEN,YELLOW,RED
1967-0032-GRC,1967,32,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Greece,GRC,Southern Europe,Europe,North West Mountains,0,0,0,Yes,0,0,0,6,Richter,39.5,21.2,09:08,0,1967,5,1,1967,5,1,9,56,16527,0,16583,0,0,5000,13.048062107494,GREEN,YELLOW,RED
1967-0102-IDN,1967,102,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Dampit, Gondang, Trenggalek, Malang (East Java)",0,0,0,0,0,0,0,6,Richter,-8.965,113.017,05:14,0,1967,2,20,1967,2,20,54,121,0,8290,8411,0,0,0,13.048062107494,ORANGE,ORANGE,RED
1967-0077-IND,1967,77,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,India,IND,Southern Asia,Asia,"Maharashtra, Koynana",0,0,0,0,0,0,0,7,Richter,17.412,73.885,04:21,0,1967,12,11,1967,12,11,177,2272,50000,0,52272,0,0,400,13.048062107494,RED,RED,RED
1967-0047-TUR,1967,47,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"(1) West Turkey - (2) East Turkey - (3) West Turkey; Mudurnu, Adapazari",0,0,0,Yes,0,0,0,7,Richter,40.751,30.8,19:57,0,1967,7,22,1967,7,22,183,360,238713,87000,326073,0,0,3000,13.048062107494,RED,RED,RED
1967-0050-VEN,1967,50,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Venezuela (Bolivarian Republic of),VEN,South America,Americas,"Caracas, Macuto coast",0,Tsunami/Tidal wave,0,Yes,0,0,0,7,Richter,10.559,-67.33,20:04,0,1967,7,28,1967,7,28,240,1536,80000,0,81536,0,0,140000,13.048062107494,RED,RED,RED
1967-0074-YUG,1967,74,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Yugoslavia,YUG,Southern Europe,Europe,Debar (Macedonia (FYR)),0,0,0,Yes,0,0,0,0,Richter,42,21.28,0,0,1967,11,30,1967,11,30,7,70,16400,5400,21870,0,0,20000,13.048062107494,GREEN,YELLOW,RED
1967-0134-IDN,1967,134,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Malaysia brder; North Sumatera, Malay Peninsula",0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,5.121,96.286,11:51,0,1967,4,12,1967,4,12,14,0,0,10000,10000,0,0,0,13.048062107494,BLUE,GREEN,RED
1967-0132-CHN,1967,132,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,China,CHN,Eastern Asia,Asia,Sichuan province,0,0,0,0,0,0,0,6,Richter,30.2,104.1,21:45,0,1967,1,24,1967,1,24,0,0,0,2085,2085,0,0,0,13.048062107494,GREEN,GREEN,RED
1967-0137-COL,1967,137,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Colombia,COL,South America,Americas,0,0,0,0,0,0,0,0,7,Richter,6.747,-73.032,11:24,0,1967,7,29,1967,7,29,20,0,0,0,0,0,0,0,13.048062107494,BLUE,GREEN,GREEN
1967-0135-DZA,1967,135,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Algeria,DZA,Northern Africa,Africa,Near Sig,0,0,0,0,0,0,0,5,Richter,35.5,-0.1,0,0,1967,7,13,1967,7,13,10,15,0,200,215,0,0,0,13.048062107494,GREEN,GREEN,ORANGE
1967-0136-TUR,1967,136,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,Tunceli,0,0,0,0,0,0,0,6,Richter,39.5,40.4,21:53,0,1967,7,26,1967,7,26,97,0,0,0,0,0,0,0,13.048062107494,ORANGE,GREEN,GREEN
1968-0032-GRC,1968,32,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Greece,GRC,Southern Europe,Europe,"Limnos, Agios Efstratios",0,Tsunami/Tidal wave,0,Yes,0,0,0,7,Richter,39.368,24.957,00:45,0,1968,2,20,1968,2,20,19,18,4000,3600,7618,0,0,600,13.6054460870388,BLUE,GREEN,RED
1968-0077-AUS,1968,77,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Australia,AUS,Australia and New Zealand,Oceania,"Perth, Meckering, Northam, Cunderdin",0,0,0,Yes,0,0,0,7,Richter,-31.566,117.071,12:58,0,1968,10,14,1968,10,14,0,16,3874,400,4290,0,0,2600,13.6054460870388,GREEN,GREEN,RED
1968-0064-IDN,1968,64,Natural,Geophysical,Earthquake,Tsunami,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Donggala,Earthquake,0,0,0,0,0,0,8,Richter,0.157,119.802,05:14,0,1968,8,15,1968,8,15,200,0,0,0,0,0,0,0,13.6054460870388,RED,GREEN,GREEN
1968-0050-JPN,1968,50,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Japan,JPN,Eastern Asia,Asia,Aomori Prefecture - Hokkaido,0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,40.5,140.43,0,0,1968,5,17,1968,5,17,47,281,2500,0,2781,0,0,131000,13.6054460870388,YELLOW,RED,RED
1968-0073-MEX,1968,73,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Mexico,MEX,Central America,Americas,Chiapas state,0,Tsunami/Tidal wave,0,0,0,0,0,6,Richter,15.5,-92.7,04:39,0,1968,9,25,1968,9,25,15,500,0,0,500,0,0,0,13.6054460870388,BLUE,RED,RED
1968-0061-PHL,1968,61,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon Is., Manila",0,Tsunami/Tidal wave,0,Yes,0,0,0,0,Richter,16.316,122.067,04:19,0,1968,8,2,1968,8,2,271,261,0,0,261,0,0,5000,13.6054460870388,RED,RED,ORANGE
1968-0071-TUR,1968,71,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"Bartin, Amasra, Cakraz (North Anatolia)",0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,41.86,32.463,11:19,0,1968,9,3,1968,9,3,24,200,10000,10000,20200,0,0,0,13.6054460870388,BLUE,ORANGE,RED
1968-0042-IRN,1968,42,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Azarbaijan, Maku, Shah Bandalu, Qurta Bolagh, Qondeqli",0,0,0,0,0,0,0,5,Richter,39.2,44.3,20:31,0,1968,4,29,1968,4,29,38,100,5000,0,5100,0,0,1000,13.6054460870388,YELLOW,YELLOW,RED
1968-0068-IRN,1968,68,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Khorasan province,0,0,0,Yes,0,0,0,7,Richter,34.158,59.083,14:17,0,1968,8,31,1968,8,31,10000,4050,75000,0,79050,0,0,35000,13.6054460870388,RED,RED,RED
1968-0023-ITA,1968,23,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Italy,ITA,Southern Europe,Europe,Belice Valley (Western Sicily),0,0,0,Yes,0,0,0,6,Richter,37.702,13.033,03:01,0,1968,1,15,1968,1,15,224,563,55000,0,55563,0,0,250000,13.6054460870388,RED,RED,RED
1968-0018-NIC,1968,18,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,Nicaragua,NIC,Central America,Americas,Managua,0,0,0,Yes,0,0,0,5,Richter,12.1,-86.2,04:03,0,1968,1,4,1968,1,4,0,0,2000,0,2000,0,0,2000,13.6054460870388,GREEN,GREEN,RED
1968-0099-NZL,1968,99,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,New Zealand,NZL,Australia and New Zealand,Oceania,Inangahua,0,0,0,0,0,0,0,7,Richter,-41.659,172.02,05:24,0,1968,5,24,1968,5,24,3,14,300,0,314,0,0,2669,13.6054460870388,GREEN,GREEN,RED
1968-0052-PER,1968,52,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Peru,PER,South America,Americas,"Moyobamba, Sans Martin, Yantalo, Rioja, Lamas",0,0,0,Yes,0,0,0,7,Richter,-5.61,-77.086,03:13,0,1968,6,19,1968,6,19,11,120,300,0,420,0,0,100,13.6054460870388,BLUE,ORANGE,RED
1968-0082-YUG,1968,82,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Yugoslavia,YUG,Southern Europe,Europe,Montenegro,0,0,0,Yes,0,0,0,5,Richter,42.1,19.3,05:49,0,1968,11,3,1968,11,3,1,30,15000,0,15030,0,0,38600,13.6054460870388,GREEN,BLUE,RED
1968-0143-IRN,1968,143,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Ferdow,0,0,0,0,0,0,0,7,Richter,34,58.2,10:57,0,1968,9,1,1968,9,1,700,0,0,0,0,0,0,0,13.6054460870388,RED,GREEN,GREEN
1968-0142-MEX,1968,142,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Mexico,MEX,Central America,Americas,"Oaxaca, Guerrero",0,0,0,0,0,0,0,7,Richter,16.519,-97.739,08:06,0,1968,8,2,1968,8,2,18,0,0,0,0,0,0,2400,13.6054460870388,BLUE,GREEN,GREEN
1969-0082-CHN,1969,82,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,"Tientsin (Swatow province), Yangjiang county (Huangdong province)",0,0,0,0,0,0,0,6,Richter,22.317,111.8,06:49,0,1969,7,26,1969,7,26,3000,0,0,53810,53810,0,0,0,14.3486278167258,RED,GREEN,RED
1969-0061-ETH,1969,61,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Ethiopia,ETH,Eastern Africa,Africa,Sardo,0,0,0,Yes,0,0,0,6,Richter,11.9,41.21,12:15,0,1969,3,29,1969,3,29,24,165,0,420,585,0,0,320,14.3486278167258,BLUE,ORANGE,RED
1969-0052-IDN,1969,52,Natural,Geophysical,Earthquake,Tsunami,0,0,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Parasanga, Paletoang (Sulawesi)",Earthquake,0,0,0,0,0,0,7,Richter,-3.201,118.904,07:36,0,1969,2,23,1969,2,23,64,97,0,6435,6532,0,0,0,14.3486278167258,ORANGE,YELLOW,RED
1969-0046-IRN,1969,46,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,Khurasan province,0,0,0,0,0,0,0,6,Richter,37.1,57.9,06:46,0,1969,1,3,1969,1,3,50,300,48000,0,48300,0,0,0,14.3486278167258,YELLOW,RED,RED
1969-0098-PER,1969,98,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Peru,PER,South America,Americas,"Huancayo, Pariach",0,0,0,Yes,0,0,0,7,Richter,-11.841,-75.051,00:48,0,1969,10,1,1969,10,1,150,216,3000,0,3216,0,0,5000,14.3486278167258,RED,RED,RED
1969-0059-TUR,1969,59,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Turkey,TUR,Western Asia,Asia,"West Alasehir, Sarigol, Kirz",0,0,0,0,0,0,0,7,Richter,38.515,28.546,04:48,0,1969,3,28,1969,3,28,53,350,0,0,350,0,0,0,14.3486278167258,ORANGE,RED,RED
1969-0107-YUG,1969,107,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Yugoslavia,YUG,Southern Europe,Europe,Bosnia and Herzegovina,0,0,0,Yes,0,0,0,6,Richter,44.9,17.3,16:36,0,1969,10,26,1969,10,26,15,1116,200000,85000,286116,0,0,50000,14.3486278167258,BLUE,RED,RED
1969-0097-ZAF,1969,97,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,South Africa,ZAF,Southern Africa,Africa,Cape province,0,0,0,0,0,0,0,6,Richter,-33.268,19.386,22:03,0,1969,9,29,1969,9,29,9,0,1000,0,1000,0,0,24000,14.3486278167258,GREEN,GREEN,RED
1969-0156-EGY,1969,156,Natural,Geophysical,Earthquake,Ground movement,0,0,Affected,Egypt,EGY,Northern Africa,Africa,"Beni-Souef, Al-Qahirah (Cairo)",0,Tsunami/Tidal wave,0,0,0,0,0,7,Richter,27.575,33.895,10:15,0,1969,3,31,1969,3,31,2,16,0,535,551,0,0,0,14.3486278167258,GREEN,GREEN,RED
1969-0155-PRT,1969,155,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Portugal,PRT,Southern Europe,Europe,0,0,Tsunami/Tidal wave,0,0,0,0,0,8,Richter,36.033,-10.613,01:40,0,1969,2,28,1969,2,28,2,80,0,0,80,0,0,0,14.3486278167258,GREEN,YELLOW,BLUE
1969-0155-MAR,1969,155,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Morocco,MAR,Northern Africa,Africa,0,0,0,0,0,0,0,0,8,Richter,36.033,-10.613,01:40,0,1969,2,28,2019,2,28,11,0,0,0,0,0,0,0,14.3486278167258,BLUE,GREEN,GREEN
1970-0010-CHN,1970,10,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,China,CHN,Eastern Asia,Asia,Yunnan province,0,0,0,0,0,0,0,7,Richter,24.185,102.543,0,0,1970,1,4,1970,1,4,10000,0,0,0,0,0,0,0,15.1863354613098,RED,GREEN,GREEN
1970-0051-COL,1970,51,Natural,Geophysical,Earthquake,Ground movement,0,0,Affect,Colombia,COL,South America,Americas,Pereira (Bahia Solano),0,0,0,0,0,0,0,7,Richter,6.375,-77.438,22:38,0,1970,9,25,1970,9,25,0,6,3000,0,3006,0,0,400,15.1863354613098,GREEN,GREEN,RED
1970-0067-ECU,1970,67,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Ecuador,ECU,South America,Americas,Loja province,0,0,0,Yes,0,0,0,7,Richter,-4.026,-80.542,23:34,0,1970,12,9,1970,12,9,29,120,60000,27992,88112,0,0,4000,15.1863354613098,BLUE,ORANGE,RED
1970-0112-IND,1970,112,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,India,IND,Southern Asia,Asia,Broach,0,0,0,0,0,0,0,5,Richter,21.7,73,07:22,0,1970,3,23,1970,3,23,26,200,0,0,200,0,0,0,15.1863354613098,BLUE,ORANGE,YELLOW
1970-0032-PER,1970,32,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Peru,PER,South America,Americas,"Chimbote, Pisco, Chiclayo",0,"Slide (land, mud, snow, rock)",Flood,Yes,0,0,0,8,Richter,-9.183,-78.737,0,0,1970,5,31,1970,5,31,66794,143331,3072909,0,3216240,0,0,530000,15.1863354613098,RED,RED,RED
1970-0060-PNG,1970,60,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Papua New Guinea,PNG,Melanesia,Oceania,Madang,0,"Slide (land, mud, snow, rock)",0,0,0,0,0,7,Richter,-4.999,145.396,03:53,0,1970,11,1,1970,11,1,15,20,4000,0,4020,0,0,1750,15.1863354613098,BLUE,GREEN,RED
1970-0038-IRN,1970,38,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Iran (Islamic Republic of),IRN,Southern Asia,Asia,"Karnaveh, Marev",0,0,0,0,0,0,0,7,Richter,37.733,55.885,0,0,1970,7,30,1970,7,30,176,0,10000,0,10000,0,0,8000,15.1863354613098,RED,GREEN,RED
1970-0068-PER,1970,68,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Peru,PER,South America,Americas,"Piura,Tumbes",0,0,0,0,0,0,0,7,Richter,-4.026,-80.542,23:34,0,1970,12,9,1970,12,9,29,252,15000,0,15252,0,0,2000,15.1863354613098,BLUE,RED,RED
1970-0004-PHL,1970,4,Natural,Geophysical,Earthquake,Ground movement,0,0,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,0,0,0,0,0,0,0,0,Richter,15.791,121.630,0,0,1970,4,7,1970,4,7,14,200,0,0,200,0,0,0,15.1863354613098,BLUE,ORANGE,YELLOW
